path,value
AdditionalAttributes[0].Name,FLIGHT_LINE
AdditionalAttributes[0].Description,Flight line identifies where the aircraft/instrument has flown to acquire data.
AdditionalAttributes[0].DataType,STRING
AdditionalAttributes[1].Name,GROUP_ID
AdditionalAttributes[1].Description,ID that helps ASF group products
AdditionalAttributes[1].DataType,STRING
AdditionalAttributes[2].Name,OFF_NADIR_ANGLE
AdditionalAttributes[2].Description,The angle the sensor points away from the satellite's nadir (off to the side). Larger angles correspond to imaging farther away from the satellite.
AdditionalAttributes[2].DataType,FLOAT
AdditionalAttributes[3].Name,MD5SUM
AdditionalAttributes[3].Description,Checksum
AdditionalAttributes[3].DataType,STRING
AdditionalAttributes[4].Name,GRANULE_TYPE
AdditionalAttributes[4].Description,"Identifies the type of data by combining platform, beam mode type, and coverage (frame/swath)"
AdditionalAttributes[4].DataType,STRING
AdditionalAttributes[5].Name,ASCENDING_DESCENDING
AdditionalAttributes[5].Description,"Describes whether the satellite travel direction was ascending towards the north pole, or descending towards the south pole."
AdditionalAttributes[5].DataType,STRING
AdditionalAttributes[6].Name,FAR_END_LAT
AdditionalAttributes[6].Description,"Latitude of the granule where imaging ended farthest from the satellite. For an ascending satellite, it locates the upper right corner of a north-oriented image."
AdditionalAttributes[6].DataType,FLOAT
AdditionalAttributes[7].Name,INSAR_STACK_SIZE
AdditionalAttributes[7].Description,The number of SAR images over the same location in the entire ASF archive. Used for data that may be used for interferometry.
AdditionalAttributes[7].DataType,INT
AdditionalAttributes[8].Name,BEAM_MODE_TYPE
AdditionalAttributes[8].Description,"In most cases, the BEAM_MODE_TYPE value is the same as the BEAM_MODE attribute. Each platform has its own scheme for defining acquisition sensor beam modes. Beam modes often reflect a set configuration of polarization, resolution, and off-nadir pointing angle."
AdditionalAttributes[8].DataType,STRING
AdditionalAttributes[9].Name,INSAR_BASELINE
AdditionalAttributes[9].Description,The perpendicular distance between two satellites when they took the related two images. Useful for identifying image pairs to use for interferometry.
AdditionalAttributes[9].DataType,FLOAT
AdditionalAttributes[10].Name,CENTER_FRAME_ID
AdditionalAttributes[10].Description,ID of the center frame
AdditionalAttributes[10].DataType,STRING
AdditionalAttributes[11].Name,CENTER_ESA_FRAME
AdditionalAttributes[11].Description,The European Space Agency equivalent to the value in the FRAME_NUMBER field
AdditionalAttributes[11].DataType,INT
AdditionalAttributes[12].Name,ACQUISITION_DATE
AdditionalAttributes[12].Description,Date the data was acquired by the satellite or aircraft and instrument.
AdditionalAttributes[12].DataType,STRING
AdditionalAttributes[13].Name,MISSION_NAME
AdditionalAttributes[13].Description,"The sitenames where AIRSAR, AIRMOSS, and UAVSAR acquisitions were taken."
AdditionalAttributes[13].DataType,STRING
AdditionalAttributes[14].Name,CENTER_LON
AdditionalAttributes[14].Description,Longitude of the center of the scene or frame.
AdditionalAttributes[14].DataType,FLOAT
AdditionalAttributes[15].Name,NEAR_START_LAT
AdditionalAttributes[15].Description,"Latitude of the granule where imaging began nearest to the satellite. For an ascending satellite, it locates the lower left corner of a north-oriented image."
AdditionalAttributes[15].DataType,FLOAT
AdditionalAttributes[16].Name,BEAM_MODE
AdditionalAttributes[16].Description,"The general type of active sensor used. Values indicate image resolution: such as standard, fine, wide, scansar wide, SM (strip mode), EW (extra wide). Or indicate resolution + polarization: FBS (fine beam single polarization), FBD (fine beam dual pol). Or atypically the type of product: TOPSAR (high resolution DEM), RPI (repeat pass interferometry), XTI (across track interferometry). Or resolution and product type IW (interferometric wide)."
AdditionalAttributes[16].DataType,STRING
AdditionalAttributes[17].Name,BEAM_MODE_DESC
AdditionalAttributes[17].Description,Text that describes the beam mode
AdditionalAttributes[17].DataType,STRING
AdditionalAttributes[18].Name,PROCESSING_TYPE
AdditionalAttributes[18].Description,"Indicates the type of product, such as browse, metadata, L1, complex, amplitude, projected, terrain corrected."
AdditionalAttributes[18].DataType,STRING
AdditionalAttributes[19].Name,PROCESSING_DESCRIPTION
AdditionalAttributes[19].Description,Describes what the data was processed to. For example: low resolution terrain corrected ALOS data.
AdditionalAttributes[19].DataType,STRING
AdditionalAttributes[20].Name,FRAME_NUMBER
